Subject,Count
,
Religion,43
,
History,35
,
Philosophy,31
,
Ancient,30
,
Science,23
,
Ethics,20
,
Criticism,17
,
Classical literature,15
,
German,13
,
"knowledge, Theory of",12
,
Fiction,11
,
Education,11
,
Dictionaries,11
,
Aesthetics,10
,
Socrates,10
,
Political science,9
,
Biography,9
,
Christianity,9
,
Modern,8
,
Civilization,8
,
Hindu,7
,
Islamic,7
,
Art,7
,
Social life and customs,7
,
Poetry,6
,
Theology,6
,
Chinese,6
,
Essays,6
,
Psychology,6
,
Life,6
,
Evolution,6
,
Free thought,6
,
Greece,6
,
Great Britain,6
,
Music,5
,
French,5
,
Language,5
,
India,5
,
Mathematics,4
,
United States,4
,
Plato,4
,
Logic,4
,
Mythology,4
,
Economics,4
,
Medieval,4
,
"Nietzsche, Friedrich Wilhelm",4
,
England,4
,
Russia,4
,
English -- 18th century,4
,
Happiness,3
,
War,3
,
Nature,3
,
Pragmatism,3
,
Introductions,3
,
Materialism,3
,
Arab,3
,
Nihilism,3
,
Values,3
,
Sophists,3
,
Family,3
,
Idea,3
,
Will,3
,
Butterflies,3
,
Heredity,3
,
Insects,3
,
Lepidoptera,3
,
Mechanism,3
,
Zoology,3
,
Spanish,2
,
Revolutions,2
,
State,2
,
Politics and government,2
,
Conduct of life,2
,
Nursing,2
,
Moral,2
,
Social problems,2
,
Socialism,2
,
Physics,2
,
Brahmans,2
,
Buddhism,2
,
Self-realization,2
,
Spiritual life,2
,
Christian heresies,2
,
Occultism,2
,
Belief and doubt,2
,
"Neill, Alexander Sutherland",2
,
Mysticism,2
,
Power,2
,
Authors,2
,
Metaphysics,2
,
Methodology,2
,
Ontology,2
,
Homer,2
,
Social conditions,2
,
Periodicals,2
,
Virtue,2
,
Literature,2
,
English -- 19th century,2
,
Utilitarianism,2
,
Middle Ages,2
,
"James, William",2
,
National characteristics,2
,
American -- 19th century,2
,
"Royce, Josiah",2
,
Faith and reason,2
,
"Spencer, Herbert",2
,
Natural theology,2
,
Reincarnation,1
,
Vedanta,1
,
Degeneration,1
,
"Shakespare, William",1
,
Baconian theory,1
,
Predestination,1
,
Comedy,1
,
Laughter,1
,
constitution,1
,
Reconstruction,1
,
Secession,1
,
Progress,1
,
Confucianism,1
,
Geometry,1
,
Free will and determinism,1
,
Travel,1
,
"Browne, Horace Albert",1
,
Burma,1
,
"Sladen, E. B. (Edward Bosc)",1
,
Yunnan Sheng,1
,
Cults,1
,
Rites and ceremonies,1
,
Totemism,1
,
Stoics,1
,
Dvaita (Vedanta),1
,
Ghazzali,1
,
Liberty,1
,
Categories,1
,
Learning,1
,
Concord School of Philosophy,1
,
"Hawthorne, Nathaniel",1
,
"Roosevelt, Theodore",1
,
"Whitman, Walt",1
,
Caring,1
,
Empathy,1
,
Memory History,1
,
Thesis,1
,
Sociology,1
,
Radicalism,1
,
"Holbach, Paul Henri Thiry, baron d'",1
,
Organism,1
,
Indian,1
,
"Dühring, E. (Eugen)",1
,
Dialectical materialism,1
,
Death,1
,
Psychoanalysis,1
,
culture,1
,
"Gentile, Giovanni",1
,
"Mill, John Stuart",1
,
Examination of Sir William Hamilton's philosophy,1
,
Astronomy,1
,
Jewish,1
,
Conversion,1
,
Experience,1
,
Causation,1
,
Reason,1
,
Practical reason,1
,
"Marx, Karl",1
,
Science fiction,1
,
Short stories,1
,
Monism,1
,
"Haeckel, Ernst. Welträthsel",1
,
Logos,1
,
Superman,1
,
Schopenhauer,1
,
Bushido,1
,
Japan,1
,
Samurai,1
,
Gautama Buddha,1
,
Primitive,1
,
literature,1
,
Taoism,1
,
"Didactic poetry, Latin",1
,
Apollonius,1
,
Ancient(Oriental influences),1
,
"Newcastle, William Cavendish, Duke of",1
,
Tragedy,1
,
Rationalism,1
,
Apologetics,1
,
Bibliography,1
,
"Peirce, Charles S. (Charles Sanders)",1
,
Meaning (Philosophy),1
,
Rhetoric,1
,
Dialogues,1
,
Justice,1
,
Piety,1
,
Imagination,1
,
Moneymaking projects,1
,
Egoism,1
,
Faith,1
,
"Stacpoole, H. De Vere (Henry De Vere)",1
,
Arts,1
,
Morals,1
,
Nihilism ,1
,
Intellectual life,1
,
Imaginary letters,1
,
Protagoras,1
,
Love,1
,
Dialectic,1
,
Parmenides,1
,
Reasoning,1
,
"Zeno, of Elea",1
,
Immortality,1
,
Wealth,1
,
Law,1
,
Influence,1
,
"Shakespeare, William",1
,
Dogma,1
,
Didactic poetry,1
,
Dante Alighieri,1
,
"Goethe, Johann Wolfgang von",1
,
"Lucretius Carus, Titus",1
,
Philosophy in literature,1
,
"Locke, John",1
,
"Chekhov, Anton Pavlovich",1
,
"Dostoyevsky, Fyodor,",1
,
"Shelley, Percy Bysshe",1
,
Political and social views,1
,
"Bentham, Jeremy",1
,
"Tolstoy, Leo, graf",1
,
Domestic,1
,
Laozi,1
,
Dao de jing,1
,
Appearance,1
,
Didactic,1
,
Paranormal,1
,
Portraits,1
,
Supernatural,1
,
Forecasting,1
,
Time,1
,
Classical philology,1
,
Educational change,1
,
Pythagoras,1
,
"Mill, James",1
,
Republics,1
,
Iran,1
